,2,3,4,5,6,7,8,9,10,A
A,True,True,True,True,True,True,True,True,True,True
10,False,False,False,False,False,False,False,False,False,False
9,True,True,True,True,True,False,True,True,False,False
8,True,True,True,True,True,True,True,True,True,True
7,True,True,True,True,True,True,False,False,False,False
6,True,True,True,True,True,False,False,False,False,False
5,False,False,False,False,False,False,False,False,False,False
4,False,False,False,True,True,False,False,False,False,False
3,True,True,True,True,True,True,False,False,False,False
2,True,True,True,True,True,True,False,False,False,False
